;AP;num_employees;num_firms
745;3304557999009;1461.0;141
746;3304557999010;1203.0;220
747;3304557999011;1391.0;163
748;3304557999012;4059.0;560
749;3304557999013;58573.0;6668
750;3304557999014;1548.0;79
751;3304557999015;9398.5;696
752;3304557999016;1753.0;251
753;3304557999017;14629.0;1303
754;3304557999018;16510.0;1566
755;3304557999019;21205.0;1647
756;3304557999020;9146.0;828
757;3304557999021;5699.0;378
758;3304557999022;3915.0;627
759;3304557999023;6314.0;556
760;3304557999024;5431.0;225
761;3304557999025;2739.0;220
762;3304557999026;2642.0;440
763;3304557999027;4656.0;594
764;3304557999028;7394.0;1147
765;3304557999029;1160.0;122
766;3304557999030;1619.0;254
767;3304557999031;187983.5;16490
768;3304557999032;18889.5;1452
769;3304557999033;528.0;80
770;3304557999034;1739.5;257
771;3304557999035;2976.0;188
772;3304557999036;2137.0;108
773;3304557999037;6192.0;372
774;3304557999038;12032.5;1670
775;3304557999039;4478.5;781
776;3304557999040;7009.0;1247
777;3304557999041;8857.5;1510
778;3304557999042;9273.5;1299
779;3304557999043;3279.0;296
780;3304557999044;1745.0;182
781;3304557999045;6282.5;287
782;3304557999046;7565.0;404
783;3304557999047;3024.0;376
784;3304557999048;3148.0;147
785;3304557999049;1540.0;222
786;3304557999050;764.0;125
787;3304557999051;1775.0;219
788;3304557999052;11945.0;1309
789;3304557999053;1494.0;194
790;3304557999054;945.0;113
791;3304557999055;1939.0;214
792;3304557999056;2640.0;290
793;3304557999057;3366.0;448
794;3304557999058;1155.0;95
795;3304557999059;8206.0;847
796;3304557999060;5954.0;680
797;3304557999061;6762.0;876
798;3304557999062;533.0;170
799;3304557999063;10815.0;1301
800;3304557999064;11480.0;743
801;3304557999065;850.0;108
802;3304557999066;5349.0;464
803;3304557999067;2978.0;565
804;3304557999068;4092.0;314
805;3304557999069;4875.5;417
806;3304557999070;8097.0;707
807;3304557999071;4266.5;395
808;3304557999072;411.0;65
809;3304557999073;5618.0;460
810;3304557999074;161.0;32
811;3304557999075;5763.0;444
812;3304557999076;1134.0;110
813;3304557999077;14906.0;2518
814;3304557999078;7990.5;1272
815;3304557999079;6231.0;613
816;3304557999080;3095.0;401
817;3304557999081;2180.0;408
818;3304557999082;2175.0;213
819;3304557999083;10436.0;579
820;3304557999084;1431.0;132
821;3304557999085;9268.0;750
822;3304557999086;1886.0;316
823;3304557999087;13034.0;774
824;3304557999088;842.0;157
825;3304557999089;2652.5;776
826;3304557999090;4585.0;646
827;3304557999091;8318.0;935
828;3304557999092;15828.0;2442
829;3304557999093;2781.0;298
830;3304557999094;2224.0;340
831;3304557999095;18708.0;2188
832;3304557999096;756.0;147
833;3304557999097;2131.0;156
834;3304557999098;2527.0;184
835;3304557999099;9113.0;717
836;3304557999100;2436.0;286
837;3304557999101;6377.0;499
838;3304557999102;661.0;46
839;3304557999103;4262.0;397
840;3304557999104;317.0;29
841;3304557999105;1118.0;103
842;3304557999106;2039.0;343
843;3304557999107;12791.0;2065
844;3304557999108;8663.0;921
845;3304557999109;3246.0;331
