AREAP;num_employees_clt;num_firms
2111300005001;58994036692;1820
2111300005002;9832467251;336
2111300005003;19664916895;476
2111300005004;39329542856;572
2111300005005;9832376691;153
2111300005006;9832392407;172
2111300005007;19720573909;444
2111300005008;59050391407;491
2111300005009;68959093215;497
2111300005010;146409216080;1518
2111300005011;161628175588;1283
2111300005012;19732159197;117
2111300005013;59049728048;166
2111300005014;98443462010;376
2111300005015;19769810501;738
2111300005016;29496977739;181
2111300005017;8136;465
2111300005018;49162223119;203
2111300005019;9832233504;87
2111300005020;68826293420;316
2111300005021;108249137832;409
2111300005022;19732283782;216
2111300005023;5387;85
2111300005024;6536;57
2111300005025;352;32
2111300005026;39385172277;308
2111300005027;78815880050;391
2111300005028;163;39
2111300005029;2;2
2111409001001;690;45
2111508003001;7;6
2111508003002;1335;108
2111532001001;220;28
2111573001001;290;6
2111607001001;2795;112
2111631001001;322;2
2111672001001;191;2
2111706001001;9833812904;19
2111722001001;203;7
2111748001001;277;8
2111763001001;785;62
2111789001001;3;2
2111805001001;963;25
2111904001001;48;13
2111953001001;144;8
2112001001001;1063;47
2112100001001;704;33
2112209003001;9932121265;35
2112209003002;676;78
2112209003003;3562;118
2112209003004;356;58
2112209003005;85664441584;277
2112209003006;19864248917;63
2112209003007;19864244968;22
2112233001001;1258;103
2112274001001;405;7
2112308003001;341;73
2112308003002;3;2
2112407001001;19664821842;21
2112456001001;309;11
2112506003001;14;4
2112506003002;9834793835;81
2112605001001;2167;78
2112704003002;9832467807;68
2112803003001;1524;118
2112803003002;109;7
2112852001001;400;40
2112902001001;1094;39
2113009001001;9936634857;85
2114007003001;29509664810;33
2114007003002;39346221421;103
2200053001001;267;12
2200103001001;145;10
2200202001001;980;110
2200251001001;190;10
2200277001001;157;6
2200301001001;482;31
2200400003001;1617;130
2200400003002;245;26
2200459001001;310;12
2200509001001;733;56
2200608001001;222;33
2200707001001;266;33
2200806001001;273;12
2200905001001;336;14
2200954001001;104;4
2201002001001;162;9
2201051001001;344;2
2201101001001;457;17
2201150001001;1042;57
2201176001001;150;9
2201200003002;1874;176
2201309001001;153;16
2201408001001;494;25
2201507001001;973;62
2201556001001;156;6
2201572001001;76;3
2201606001001;402;25
2201705001001;50;15
2201739001001;217;9
2201770001001;211;7
2201804001001;192;6
2201903001001;1670;243
2201919001001;289;5
2201929001001;15;7
2201945001001;229;11
2201960001001;114;17
2201988001001;151;4
2202000001001;715;48
2202026001001;256;7
2202059001001;347;16
2202075001001;141;7
2202083001001;416;20
2202091001001;129;7
2202109001001;230;6
2202117001001;144;7
2202133001001;254;7
2202174001001;290;5
2202208003001;318;21
2202208003002;3152;344
2202251001001;208;4
2202307001001;1167;106
2202406001001;370;20
2202455001001;137;5
2202505001001;302;20
2202539001001;155;5
2202554001001;193;3
2202604001001;1017;80
2202653001001;226;4
2202703001001;916;46
2202711001001;250;15
2202729001001;297;7
2202737001001;183;6
2202752001001;304;24
2202778001001;267;17
2202802001001;123;6
2202851001001;211;9
2202901001001;1736;195
2203008001001;228;15
2203107001001;480;46
2203206001001;666;43
2203230001001;162;24
2203255001001;68;2
2203271001001;149;5
2203305001001;474;48
2203354001001;22;13
2203404001001;261;17
2203420001001;159;4
2203453001001;235;14
2203503001001;457;59
2203602001001;268;26
2203701003002;1687;192
2203750001001;191;7
2203800001001;224;7
2203859001001;157;3
2203909003001;2682;396
2203909003002;4682;372
2204006001001;205;10
2204105001001;197;11
2204154001001;147;3
2204204001001;268;17
2204303001001;1086;44
2204352001001;153;13
2204402001001;709;50
2204501001001;776;61
2204600001001;174;8
2204659001001;408;19
2204709001001;592;38
2204808001001;355;17
